"","RNA","ATAC"
"896","Pnpla6",NA
"897","Ccnt2",NA
"898","Mcemp1",NA
"899","Scd1",NA
"900","Ifih1",NA
"901","Rhoa",NA
"902","Pithd1",NA
"903","C1qb",NA
"904","Slc49a4",NA
"905","Srsf5",NA
"906","Omp",NA
"907","Baz2b",NA
"908","Gan",NA
"909","Micu1",NA
"910","Gm14198",NA
"911","Rusf1",NA
"912","E2f8",NA
"913","Hspa5",NA
"914","Ccdc186",NA
"915","Rab10",NA
"916","Fgfrl1",NA
"917","Piga",NA
"918","Brd4",NA
"919","Nhsl2",NA
"920","Gm23639",NA
"921","Cd163",NA
"922","Clk4",NA
"923","Gm37902",NA
"924","Kdm2a",NA
"925","Atf2",NA
"926","Utrn",NA
"927","Atpif1",NA
"928","Nipa1",NA
"929","Iscu",NA
"930","Gm38302",NA
"931","mt-Nd1",NA
"932","Gpbp1",NA
"933","Anxa7",NA
"934","Trappc10",NA
"935","Tor1aip1",NA
"936","Aldh3b1",NA
"937","Pygl",NA
"938","Usp49",NA
"939","Napa",NA
"940","Snap29",NA
"941","Ankrd11",NA
"942","Slc25a42",NA
"943","Phospho1",NA
"944","Prdx5",NA
"945","Xrn1",NA
"946","Hbq1b",NA
"947","Gm38070",NA
"948","Slc30a10",NA
"949","Irs2",NA
"950","Mpeg1",NA
"951","Ifi35",NA
"952","Cd300lf",NA
"953","Smpdl3a",NA
"954","Tmem50a",NA
"955","Nhlrc4",NA
"956","Extl3",NA
"957","Pot1a",NA
"958","Glo1",NA
"959","Sh3d19",NA
"960","Brap",NA
"961","Zdhhc5",NA
"962","Tuba4a",NA
"963","Gm26079",NA
"964","Golga7",NA
"965","Scrn3",NA
"966","Birc5",NA
"967","Ccr3",NA
"968","Gm37186",NA
"969","Btaf1",NA
"970","Pml",NA
"971","2810454H06Rik",NA
"972","Abcg4",NA
"973","Polr3b",NA
"974","Son",NA
"975","Marchf6",NA
"976","Neil3",NA
"977","Ighg2c",NA
"978","Xaf1",NA
"979","Brca1",NA
"980","Rc3h2",NA
"981","Pi4k2b",NA
"982","Pcf11",NA
"983","Ifnar2",NA
"984","Apol10a",NA
"985","Gvin1",NA
"986","Gm2058",NA
"987","Ncam1",NA
"988","Bcl2l15",NA
"989","Apold1",NA
"990","H2ac11",NA
"991","Mbtps1",NA
"992","Alad",NA
"993","Ptbp3",NA
"994","Irf7",NA
"995","Tbx6",NA
"996","Lmna",NA
"997","Aplf",NA
"998","Lyst",NA
"999","Slfn1",NA
"1000","Nos1ap",NA
"1001","Sdcbp",NA
"1002","Grap2",NA
"1003","Rab30",NA
"1004","Lrp1",NA
"1005","Unc5cl",NA
"1006","Dlgap5",NA
"1007","Xpa",NA
"1008","Akirin2",NA
"1009","Gm15787",NA
"1010","Gca",NA
"1011","Ly6a2",NA
"1012","Lpcat3",NA
"1013","St7",NA
"1014","Gm10718",NA
"1015","Samhd1",NA
"1016","Zfc3h1",NA
"1017","Lrpprc",NA
"1018","Gcc1",NA
"1019","Alox5",NA
"1020","F5",NA
"1021","Cars",NA
"1022","Ccnd3",NA
"1023","Gm14098",NA
"1024","Psme4",NA
"1025","Tifa",NA
"1026","Usp14",NA
"1027","Tmod1",NA
"1028","Sema4a",NA
"1029","Gm38357",NA
"1030","Pnisr",NA
